AP_DEP,AP_ARR,DEPART_PROG,HEURE_DEP,RETARD_DEPART,TAXI_TIME,TEMPS_VOL,DISTANCE,ARRIVEE_PROG,RETARD_ARRIVEE,DATE,COMPAGNIE,NOM_COMPAGNIE,NOM_AP_DEP,VILLE_DEP,PAYS_DEP,LON_DEP,LAT_DEP,HAUTEUR_DEP,COUT_10_DEP,COUT_SUP_DEP,NOM_AP_ARR,VILLE_ARR,PAYS_ARR,LON_ARR,LAT_ARR,HAUTEUR_ARR,COUT_10_ARR,COUT_SUP_ARR,ANNEE,MOIS,JOUR_SEM,HEURE_DEP_H,RETARD_BIN,RETARD_SEVERE,COUT_TOTAL,NOM_MOIS,NOM_JOUR,CRENEAU,SEGMENT_DIST
MPM,OKO,720,718.0,-2.0,20.0,123.0,643,923,-6.0,2018-12-02,MAF,Morally Ambiguious Fligthts,Maputo Airport,Maputo,Mozambique,32.572601,-25.920799,145.0,4778,12,Yokota Air Base,Fussa,Japon,139.34800720214844,35.74850082397461,463.0,2771,105,2018,12,6,7,0,0,7666,Déc,Dim,Tôt matin (6-8h),Moyen (500-1500km)
AGP,SXF,810,808.0,-2.0,10.0,302.0,2139,1012,-31.0,2016-07-07,NVPPA,Ne Va Pas Partout Airlines,MÃ¡laga Airport,MÃ¡laga,Espagne,-4.499110221862793,36.67490005493164,53.0,771,143,Berlin-SchÃ¶nefeld Airport,Berlin,Allemagne,13.5225,52.380001,157.0,2151,685,2016,7,3,8,0,0,3750,Jul,Jeu,Tôt matin (6-8h),Long (1500-3000km)
KWL,SOF,1535,1528.0,-7.0,34.0,95.0,290,1710,-13.0,2018-04-23,SMITH,Bel Air,Guilin Liangjiang International Airport,Guilin City,Chine,110.03900146484376,25.21809959411621,570.0,2309,422,Sofia Airport,Sofia,Bulgarie,23.411436080932617,42.69669342041016,1742.0,3615,781,2018,4,0,15,0,0,7127,Avr,Lun,Après-midi (15-17h),Court (<500km)
QUO,AGP,830,828.0,-2.0,13.0,65.0,153,935,-8.0,2016-01-10,NVPPA,Ne Va Pas Partout Airlines,Akwa Ibom International Airport,Uyo,Nigeria,8.093,4.8725,170.0,6076,91,MÃ¡laga Airport,MÃ¡laga,Espagne,-4.499110221862793,36.67490005493164,53.0,771,143,2016,1,6,8,0,0,7081,Jan,Dim,Tôt matin (6-8h),Court (<500km)
DXB,PEK,2030,2025.0,-5.0,19.0,196.0,1205,2146,-14.0,2016-09-24,COA,Corporate Overlord Airways,Dubai International Airport,Dubai,Émirats arabes unis,55.3643989563,25.2527999878,62.0,6386,848,Beijing Capital International Airport,Beijing,Chine,116.58499908447266,40.080101013183594,116.0,6072,602,2016,9,5,20,0,0,13908,Sep,Sam,Soirée (18-20h),Moyen (500-1500km)
SIN,AGP,700,706.0,6.0,9.0,165.0,903,945,-11.0,2017-09-09,NVPPA,Ne Va Pas Partout Airlines,Singapore Changi Airport,Singapore,Singapour,103.994003,1.35019,22.0,553,845,MÃ¡laga Airport,MÃ¡laga,Espagne,-4.499110221862793,36.67490005493164,53.0,771,143,2017,9,5,7,0,0,2312,Sep,Sam,Tôt matin (6-8h),Moyen (500-1500km)
AGP,KMG,1949,2004.0,15.0,22.0,84.0,306,2113,12.0,2018-06-26,NVPPA,Ne Va Pas Partout Airlines,MÃ¡laga Airport,MÃ¡laga,Espagne,-4.499110221862793,36.67490005493164,53.0,771,143,Kunming Changshui International Airport,Kunming,Chine,102.9291667,25.1019444,6903.0,2849,732,2018,6,1,20,0,0,4495,Jun,Mar,Soirée (18-20h),Court (<500km)
SXF,JNB,1545,1540.0,-5.0,14.0,118.0,651,1743,-13.0,2017-09-24,COA,Corporate Overlord Airways,Berlin-SchÃ¶nefeld Airport,Berlin,Allemagne,13.5225,52.380001,157.0,2151,685,OR Tambo International Airport,Johannesburg,Afrique du Sud,28.246,-26.1392,5558.0,2125,606,2017,9,6,15,0,0,5567,Sep,Dim,Après-midi (15-17h),Moyen (500-1500km)
TPE,KWL,1245,1250.0,5.0,19.0,71.0,184,1356,8.0,2016-08-15,SMITH,Bel Air,Taiwan Taoyuan International Airport,Taipei,Taïwan,121.233002,25.0777,106.0,5279,265,Guilin Liangjiang International Airport,Guilin City,Chine,110.03900146484376,25.21809959411621,570.0,2309,422,2016,8,0,12,0,0,8275,Aoû,Lun,Midi (12-14h),Court (<500km)
DSS,BRE,1205,1200.0,-5.0,14.0,169.0,1084,1454,-27.0,2018-04-04,NVPPA,Ne Va Pas Partout Airlines,Blaise Diagne International Airport,Dakar,Sénégal,-17.073333,14.67,290.0,5499,120,Bremen Airport,Bremen,Allemagne,8.78666973114,53.0475006104,14.0,8515,185,2018,4,2,12,0,0,14319,Avr,Mer,Midi (12-14h),Moyen (500-1500km)
AGP,FRA,1610,1617.0,7.0,14.0,83.0,373,1733,-2.0,2016-01-04,NVPPA,Ne Va Pas Partout Airlines,MÃ¡laga Airport,MÃ¡laga,Espagne,-4.499110221862793,36.67490005493164,53.0,771,143,Frankfurt am Main Airport,Frankfurt am Main,Allemagne,8.570556,50.033333,364.0,2366,67,2016,1,0,16,0,0,3347,Jan,Lun,Après-midi (15-17h),Court (<500km)
DXB,DSS,1225,1221.0,-4.0,27.0,169.0,986,1614,-4.0,2018-05-03,COA,Corporate Overlord Airways,Dubai International Airport,Dubai,Émirats arabes unis,55.3643989563,25.2527999878,62.0,6386,848,Blaise Diagne International Airport,Dakar,Sénégal,-17.073333,14.67,290.0,5499,120,2018,5,3,12,0,0,12853,Mai,Jeu,Midi (12-14h),Moyen (500-1500km)
UPG,SHJ,2005,1956.0,-9.0,27.0,122.0,612,2107,-8.0,2018-09-28,COA,Corporate Overlord Airways,Hasanuddin International Airport,Ujung Pandang-Celebes Island,Indonésie,119.5540008544922,-5.061629772186279,47.0,9063,667,Sharjah International Airport,Sharjah,Émirats arabes unis,55.5172004699707,25.32859992980957,111.0,8241,341,2018,9,4,19,0,0,18312,Sep,Ven,Soirée (18-20h),Moyen (500-1500km)
TIA,HAN,2150,2138.0,-12.0,18.0,106.0,628,36,-14.0,2016-03-18,AAPF,Always A Problem Flights,Tirana International Airport Mother Teresa,Tirana,Albanie,19.7206001282,41.4146995544,126.0,4582,586,Noi Bai International Airport,Hanoi,Vietnam,105.80699920654295,21.221200942993164,39.0,8379,693,2016,3,4,21,0,0,14240,Mar,Ven,Nuit tardive (21-24h),Moyen (500-1500km)
BWN,MPM,1813,1806.0,-7.0,11.0,111.0,468,2004,-24.0,2016-02-06,I6F,IE 6.0 Flights,Brunei International Airport,Bandar Seri Begawan,Brunei,114.9280014038086,4.944200038909912,73.0,4993,299,Maputo Airport,Maputo,Mozambique,32.572601,-25.920799,145.0,4778,12,2016,2,5,18,0,0,10082,Fév,Sam,Soirée (18-20h),Court (<500km)
TNA,JNB,1300,1309.0,9.0,24.0,257.0,1773,1417,15.0,2016-07-08,COA,Corporate Overlord Airways,Yaoqiang Airport,Jinan,Chine,117.21600341796876,36.857200622558594,76.0,2066,795,OR Tambo International Airport,Johannesburg,Afrique du Sud,28.246,-26.1392,5558.0,2125,606,2016,7,4,13,0,0,5592,Jul,Ven,Midi (12-14h),Long (1500-3000km)
KIX,CRL,2200,2151.0,-9.0,35.0,114.0,588,2254,8.0,2016-07-21,NVPPA,Ne Va Pas Partout Airlines,Kansai International Airport,Osaka,Japon,135.24400329589844,34.42729949951172,26.0,1547,546,Brussels South Charleroi Airport,Brussels,Belgique,4.45382,50.459202,614.0,6859,29,2016,7,3,21,0,0,8981,Jul,Jeu,Nuit tardive (21-24h),Moyen (500-1500km)
SXF,BZZ,1049,1046.0,-3.0,15.0,77.0,250,1206,-20.0,2018-07-29,MAF,Morally Ambiguious Fligthts,Berlin-SchÃ¶nefeld Airport,Berlin,Allemagne,13.5225,52.380001,157.0,2151,685,RAF Brize Norton,Brize Norton,Royaume-Uni,-1.58362,51.75,288.0,3252,197,2018,7,6,10,0,0,6285,Jul,Dim,Matin (9-11h),Court (<500km)
SKP,DXB,1354,1342.0,-12.0,16.0,172.0,1047,1746,-32.0,2018-09-24,COA,Corporate Overlord Airways,Skopje Alexander the Great Airport,Skopje,Macédoine du Nord,21.621401,41.961601,781.0,6090,684,Dubai International Airport,Dubai,Émirats arabes unis,55.3643989563,25.2527999878,62.0,6386,848,2018,9,0,13,0,0,14008,Sep,Lun,Midi (12-14h),Moyen (500-1500km)
DXB,LTK,1040,1036.0,-4.0,13.0,214.0,1389,1514,-16.0,2017-05-03,COA,Corporate Overlord Airways,Dubai International Airport,Dubai,Émirats arabes unis,55.3643989563,25.2527999878,62.0,6386,848,Bassel Al-Assad International Airport,Latakia,Syrie,35.948699951171875,35.401100158691406,157.0,9021,425,2017,5,2,10,0,0,16680,Mai,Mer,Matin (9-11h),Moyen (500-1500km)
DTM,SXF,606,602.0,-4.0,18.0,214.0,1384,740,0.0,2016-07-18,MAF,Morally Ambiguious Fligthts,Dortmund Airport,Dortmund,Allemagne,7.61223983765,51.51829910279999,425.0,2553,859,Berlin-SchÃ¶nefeld Airport,Berlin,Allemagne,13.5225,52.380001,157.0,2151,685,2016,7,0,6,0,0,6248,Jul,Lun,Tôt matin (6-8h),Moyen (500-1500km)
DSS,LBA,2005,1958.0,-7.0,17.0,105.0,537,2150,-18.0,2016-05-12,I6F,IE 6.0 Flights,Blaise Diagne International Airport,Dakar,Sénégal,-17.073333,14.67,290.0,5499,120,Leeds Bradford Airport,Leeds,Royaume-Uni,-1.6605700254440308,53.86589813232422,681.0,8989,608,2016,5,3,19,0,0,15216,Mai,Jeu,Soirée (18-20h),Moyen (500-1500km)
FRA,SHJ,1446,1454.0,8.0,12.0,80.0,265,1506,10.0,2018-05-31,MAF,Morally Ambiguious Fligthts,Frankfurt am Main Airport,Frankfurt am Main,Allemagne,8.570556,50.033333,364.0,2366,67,Sharjah International Airport,Sharjah,Émirats arabes unis,55.5172004699707,25.32859992980957,111.0,8241,341,2018,5,3,14,0,0,11015,Mai,Jeu,Midi (12-14h),Court (<500km)
AMM,TNA,1755,1749.0,-6.0,14.0,63.0,130,1858,7.0,2017-11-11,COA,Corporate Overlord Airways,Queen Alia International Airport,Amman,Jordanie,35.9931983948,31.7226009369,2395.0,7452,781,Yaoqiang Airport,Jinan,Chine,117.21600341796876,36.857200622558594,76.0,2066,795,2017,11,5,17,0,0,11094,Nov,Sam,Après-midi (15-17h),Court (<500km)
SVG,AGP,1540,,,,110.0,554,1730,,2017-04-29,AAPF,Always A Problem Flights,Stavanger Airport Sola,Stavanger,Norvège,5.6377801895,58.876701354,29.0,3221,440,MÃ¡laga Airport,MÃ¡laga,Espagne,-4.499110221862793,36.67490005493164,53.0,771,143,2017,4,5,,0,0,4575,Avr,Sam,,Moyen (500-1500km)
SHJ,GOA,1042,1049.0,7.0,16.0,127.0,773,1349,-3.0,2017-11-23,I6F,IE 6.0 Flights,Sharjah International Airport,Sharjah,Émirats arabes unis,55.5172004699707,25.32859992980957,111.0,8241,341,Genoa Cristoforo Colombo Airport,Genova,Italie,8.8375,44.4133,13.0,166,814,2017,11,3,10,0,0,9562,Nov,Jeu,Matin (9-11h),Moyen (500-1500km)
JNB,KIX,735,733.0,-2.0,19.0,105.0,507,1020,-7.0,2018-05-03,MAF,Morally Ambiguious Fligthts,OR Tambo International Airport,Johannesburg,Afrique du Sud,28.246,-26.1392,5558.0,2125,606,Kansai International Airport,Osaka,Japon,135.24400329589844,34.42729949951172,26.0,1547,546,2018,5,3,7,0,0,4824,Mai,Jeu,Tôt matin (6-8h),Moyen (500-1500km)
BRU,CPH,840,832.0,-8.0,24.0,170.0,954,1130,-1.0,2016-02-23,MAF,Morally Ambiguious Fligthts,Brussels Airport,Brussels,Belgique,4.48443984985,50.9014015198,184.0,5077,48,Copenhagen Kastrup Airport,Copenhagen,Danemark,12.656000137329,55.617900848389,17.0,7541,493,2016,2,1,8,0,0,13159,Fév,Mar,Tôt matin (6-8h),Moyen (500-1500km)
CKG,DXB,925,919.0,-6.0,15.0,130.0,641,1135,-5.0,2017-08-12,I6F,IE 6.0 Flights,Chongqing Jiangbei International Airport,Chongqing,Chine,106.64199829101562,29.719200134277344,1365.0,7366,243,Dubai International Airport,Dubai,Émirats arabes unis,55.3643989563,25.2527999878,62.0,6386,848,2017,8,5,9,0,0,14843,Aoû,Sam,Matin (9-11h),Moyen (500-1500km)
PEK,CTU,701,,,,318.0,2434,1519,,2017-02-02,THA,Try Hard Airlines,Beijing Capital International Airport,Beijing,Chine,116.58499908447266,40.080101013183594,116.0,6072,602,Chengdu Shuangliu International Airport,Chengdu,Chine,103.9469985961914,30.578500747680664,1625.0,4289,838,2017,2,3,,0,0,11801,Fév,Jeu,,Long (1500-3000km)
TIA,CTU,1333,1339.0,6.0,16.0,297.0,2227,2130,-12.0,2017-01-06,THA,Try Hard Airlines,Tirana International Airport Mother Teresa,Tirana,Albanie,19.7206001282,41.4146995544,126.0,4582,586,Chengdu Shuangliu International Airport,Chengdu,Chine,103.9469985961914,30.578500747680664,1625.0,4289,838,2017,1,4,13,0,0,10295,Jan,Ven,Midi (12-14h),Long (1500-3000km)
SXF,SHJ,1110,1100.0,-10.0,18.0,260.0,1846,1730,-17.0,2016-07-04,COA,Corporate Overlord Airways,Berlin-SchÃ¶nefeld Airport,Berlin,Allemagne,13.5225,52.380001,157.0,2151,685,Sharjah International Airport,Sharjah,Émirats arabes unis,55.5172004699707,25.32859992980957,111.0,8241,341,2016,7,0,11,0,0,11418,Jul,Lun,Matin (9-11h),Long (1500-3000km)
DXB,NGO,815,812.0,-3.0,18.0,57.0,190,912,5.0,2017-03-13,COA,Corporate Overlord Airways,Dubai International Airport,Dubai,Émirats arabes unis,55.3643989563,25.2527999878,62.0,6386,848,Chubu Centrair International Airport,Tokoname,Japon,136.80499267578125,34.8583984375,15.0,8053,689,2017,3,0,8,0,0,15976,Mar,Lun,Tôt matin (6-8h),Court (<500km)
TIP,DXB,900,856.0,-4.0,12.0,100.0,469,1040,-20.0,2017-02-11,COA,Corporate Overlord Airways,Tripoli International Airport,Tripoli,Libye,13.1590003967,32.6635017395,263.0,105,323,Dubai International Airport,Dubai,Émirats arabes unis,55.3643989563,25.2527999878,62.0,6386,848,2017,2,5,8,0,0,7662,Fév,Sam,Tôt matin (6-8h),Court (<500km)
SXF,JNB,1200,1225.0,25.0,13.0,123.0,651,1403,7.0,2018-09-07,COA,Corporate Overlord Airways,Berlin-SchÃ¶nefeld Airport,Berlin,Allemagne,13.5225,52.380001,157.0,2151,685,OR Tambo International Airport,Johannesburg,Afrique du Sud,28.246,-26.1392,5558.0,2125,606,2018,9,4,12,0,0,5567,Sep,Ven,Midi (12-14h),Moyen (500-1500km)
CPH,MPM,749,812.0,23.0,13.0,256.0,1874,1405,14.0,2017-06-05,THA,Try Hard Airlines,Copenhagen Kastrup Airport,Copenhagen,Danemark,12.656000137329,55.617900848389,17.0,7541,493,Maputo Airport,Maputo,Mozambique,32.572601,-25.920799,145.0,4778,12,2017,6,0,8,0,0,12824,Jun,Lun,Tôt matin (6-8h),Long (1500-3000km)
UPG,HAN,1330,1313.0,-17.0,10.0,221.0,1476,1511,-26.0,2018-08-07,AAPF,Always A Problem Flights,Hasanuddin International Airport,Ujung Pandang-Celebes Island,Indonésie,119.5540008544922,-5.061629772186279,47.0,9063,667,Noi Bai International Airport,Hanoi,Vietnam,105.80699920654295,21.221200942993164,39.0,8379,693,2018,8,1,13,0,0,18802,Aoû,Mar,Midi (12-14h),Moyen (500-1500km)
DXB,BRU,600,555.0,-5.0,18.0,199.0,1235,719,-18.0,2018-08-13,MAF,Morally Ambiguious Fligthts,Dubai International Airport,Dubai,Émirats arabes unis,55.3643989563,25.2527999878,62.0,6386,848,Brussels Airport,Brussels,Belgique,4.48443984985,50.9014015198,184.0,5077,48,2018,8,0,5,0,0,12359,Aoû,Lun,Nuit (0-5h),Moyen (500-1500km)
SKP,AAL,845,836.0,-9.0,11.0,133.0,872,1158,-23.0,2017-07-13,NVPPA,Ne Va Pas Partout Airlines,Skopje Alexander the Great Airport,Skopje,Macédoine du Nord,21.621401,41.961601,781.0,6090,684,Aalborg Airport,Aalborg,Danemark,9.84924316406,57.0927589138,10.0,8346,353,2017,7,3,8,0,0,15473,Jul,Jeu,Tôt matin (6-8h),Moyen (500-1500km)
JNB,RUH,2020,2044.0,24.0,14.0,121.0,647,2221,12.0,2017-05-23,NA,Neverland Airlines,OR Tambo International Airport,Johannesburg,Afrique du Sud,28.246,-26.1392,5558.0,2125,606,King Khaled International Airport,Riyadh,Arabie saoudite,46.69879913330078,24.957599639892575,2049.0,8146,370,2017,5,1,20,0,0,11247,Mai,Mar,Soirée (18-20h),Moyen (500-1500km)
BRU,TIA,1355,1347.0,-8.0,18.0,75.0,236,1510,0.0,2016-05-25,COA,Corporate Overlord Airways,Brussels Airport,Brussels,Belgique,4.48443984985,50.9014015198,184.0,5077,48,Tirana International Airport Mother Teresa,Tirana,Albanie,19.7206001282,41.4146995544,126.0,4582,586,2016,5,2,13,0,0,10293,Mai,Mer,Midi (12-14h),Court (<500km)
CPH,MPM,1208,1209.0,1.0,18.0,253.0,1874,1821,-12.0,2018-12-02,THA,Try Hard Airlines,Copenhagen Kastrup Airport,Copenhagen,Danemark,12.656000137329,55.617900848389,17.0,7541,493,Maputo Airport,Maputo,Mozambique,32.572601,-25.920799,145.0,4778,12,2018,12,6,12,0,0,12824,Déc,Dim,Midi (12-14h),Long (1500-3000km)
ALA,BRU,1240,1227.0,-13.0,15.0,194.0,1211,1354,-26.0,2018-08-25,MAF,Morally Ambiguious Fligthts,Almaty Airport,Almaty,Kazakhstan,77.04049682617188,43.35210037231445,2234.0,534,419,Brussels Airport,Brussels,Belgique,4.48443984985,50.9014015198,184.0,5077,48,2018,8,5,12,0,0,6078,Aoû,Sam,Midi (12-14h),Moyen (500-1500km)
GLA,DXB,1201,1212.0,11.0,11.0,160.0,929,1341,9.0,2016-06-08,APSLM,Air Piloter Sans Les Mains,Glasgow International Airport,Glasgow,Royaume-Uni,-4.43306016922,55.8718986511,26.0,5389,289,Dubai International Airport,Dubai,Émirats arabes unis,55.3643989563,25.2527999878,62.0,6386,848,2016,6,2,12,0,0,12912,Jun,Mer,Midi (12-14h),Moyen (500-1500km)
DXB,ADD,900,855.0,-5.0,16.0,134.0,674,1014,-16.0,2018-04-10,SMITH,Bel Air,Dubai International Airport,Dubai,Émirats arabes unis,55.3643989563,25.2527999878,62.0,6386,848,Addis Ababa Bole International Airport,Addis Ababa,Éthiopie,38.7993011475,8.97789001465,7630.0,4386,42,2018,4,1,8,0,0,11662,Avr,Mar,Tôt matin (6-8h),Moyen (500-1500km)
KRK,BRU,920,918.0,-2.0,21.0,369.0,2342,1229,-16.0,2017-01-17,COA,Corporate Overlord Airways,KrakÃ³w John Paul II International Airport,KrakÃ³w,Pologne,19.7848,50.077702,791.0,6705,539,Brussels Airport,Brussels,Belgique,4.48443984985,50.9014015198,184.0,5077,48,2017,1,1,9,0,0,12369,Jan,Mar,Matin (9-11h),Long (1500-3000km)
AGP,AAL,1910,1909.0,-1.0,20.0,163.0,907,2053,-7.0,2017-11-19,NVPPA,Ne Va Pas Partout Airlines,MÃ¡laga Airport,MÃ¡laga,Espagne,-4.499110221862793,36.67490005493164,53.0,771,143,Aalborg Airport,Aalborg,Danemark,9.84924316406,57.0927589138,10.0,8346,353,2017,11,6,19,0,0,9613,Nov,Dim,Soirée (18-20h),Moyen (500-1500km)
MPM,DXB,1050,1052.0,2.0,15.0,78.0,224,1208,-3.0,2016-11-05,COA,Corporate Overlord Airways,Maputo Airport,Maputo,Mozambique,32.572601,-25.920799,145.0,4778,12,Dubai International Airport,Dubai,Émirats arabes unis,55.3643989563,25.2527999878,62.0,6386,848,2016,11,5,10,0,0,12024,Nov,Sam,Matin (9-11h),Court (<500km)
TSF,BRU,702,659.0,-3.0,12.0,81.0,209,823,7.0,2018-03-20,MAF,Morally Ambiguious Fligthts,Treviso-Sant'Angelo Airport,Treviso,Italie,12.1944,45.648399,59.0,9877,260,Brussels Airport,Brussels,Belgique,4.48443984985,50.9014015198,184.0,5077,48,2018,3,1,6,0,0,15262,Mar,Mar,Tôt matin (6-8h),Court (<500km)
CPH,HEL,1050,1042.0,-8.0,27.0,65.0,224,1155,-2.0,2016-09-20,MAF,Morally Ambiguious Fligthts,Copenhagen Kastrup Airport,Copenhagen,Danemark,12.656000137329,55.617900848389,17.0,7541,493,Helsinki Vantaa Airport,Helsinki,Finlande,24.963300704956,60.317199707031,179.0,1587,484,2016,9,1,10,0,0,10105,Sep,Mar,Matin (9-11h),Court (<500km)
LTK,AGP,600,557.0,-3.0,13.0,161.0,762,841,-40.0,2018-01-17,NVPPA,Ne Va Pas Partout Airlines,Bassel Al-Assad International Airport,Latakia,Syrie,35.948699951171875,35.401100158691406,157.0,9021,425,MÃ¡laga Airport,MÃ¡laga,Espagne,-4.499110221862793,36.67490005493164,53.0,771,143,2018,1,2,5,0,0,10360,Jan,Mer,Nuit (0-5h),Moyen (500-1500km)
BRU,JNB,1225,1225.0,0.0,21.0,89.0,370,1354,-5.0,2017-05-18,MAF,Morally Ambiguious Fligthts,Brussels Airport,Brussels,Belgique,4.48443984985,50.9014015198,184.0,5077,48,OR Tambo International Airport,Johannesburg,Afrique du Sud,28.246,-26.1392,5558.0,2125,606,2017,5,3,12,0,0,7856,Mai,Jeu,Midi (12-14h),Court (<500km)
LTK,AGP,700,,,,156.0,762,936,,2017-01-27,SMITH,Bel Air,Bassel Al-Assad International Airport,Latakia,Syrie,35.948699951171875,35.401100158691406,157.0,9021,425,MÃ¡laga Airport,MÃ¡laga,Espagne,-4.499110221862793,36.67490005493164,53.0,771,143,2017,1,4,,0,0,10360,Jan,Ven,,Moyen (500-1500km)
DMK,SHJ,700,656.0,-4.0,27.0,140.0,557,920,-19.0,2016-12-26,SMITH,Bel Air,Don Mueang International Airport,Bangkok,Thaïlande,100.607002258,13.9125995636,9.0,1091,889,Sharjah International Airport,Sharjah,Émirats arabes unis,55.5172004699707,25.32859992980957,111.0,8241,341,2016,12,0,6,0,0,10562,Déc,Lun,Tôt matin (6-8h),Moyen (500-1500km)
JNB,TPE,1615,1620.0,5.0,8.0,259.0,1999,2334,2.0,2016-05-16,NA,Neverland Airlines,OR Tambo International Airport,Johannesburg,Afrique du Sud,28.246,-26.1392,5558.0,2125,606,Taiwan Taoyuan International Airport,Taipei,Taïwan,121.233002,25.0777,106.0,5279,265,2016,5,0,16,0,0,8275,Mai,Lun,Après-midi (15-17h),Long (1500-3000km)
DXB,RUH,1705,1659.0,-6.0,19.0,232.0,1431,1857,-4.0,2016-12-13,COA,Corporate Overlord Airways,Dubai International Airport,Dubai,Émirats arabes unis,55.3643989563,25.2527999878,62.0,6386,848,King Khaled International Airport,Riyadh,Arabie saoudite,46.69879913330078,24.957599639892575,2049.0,8146,370,2016,12,1,16,0,0,15750,Déc,Mar,Après-midi (15-17h),Moyen (500-1500km)
RUH,KIX,1630,1633.0,3.0,14.0,96.0,532,1906,-1.0,2017-08-24,MAF,Morally Ambiguious Fligthts,King Khaled International Airport,Riyadh,Arabie saoudite,46.69879913330078,24.957599639892575,2049.0,8146,370,Kansai International Airport,Osaka,Japon,135.24400329589844,34.42729949951172,26.0,1547,546,2017,8,3,16,0,0,10609,Aoû,Jeu,Après-midi (15-17h),Moyen (500-1500km)
BRU,JNB,720,713.0,-7.0,14.0,90.0,370,850,-20.0,2017-03-11,MAF,Morally Ambiguious Fligthts,Brussels Airport,Brussels,Belgique,4.48443984985,50.9014015198,184.0,5077,48,OR Tambo International Airport,Johannesburg,Afrique du Sud,28.246,-26.1392,5558.0,2125,606,2017,3,5,7,0,0,7856,Mar,Sam,Tôt matin (6-8h),Court (<500km)
CRL,LJU,940,935.0,-5.0,12.0,345.0,2378,1325,1.0,2017-02-13,FIPI,Fliying Is Possible Inc.,Brussels South Charleroi Airport,Brussels,Belgique,4.45382,50.459202,614.0,6859,29,Ljubljana JoÅ¾e PuÄnik Airport,Ljubljana,Slovénie,14.4576,46.223701,1273.0,7159,376,2017,2,0,9,0,0,14423,Fév,Lun,Matin (9-11h),Long (1500-3000km)
KIX,PEK,2014,2010.0,-4.0,17.0,116.0,588,2110,-10.0,2018-09-17,MAF,Morally Ambiguious Fligthts,Kansai International Airport,Osaka,Japon,135.24400329589844,34.42729949951172,26.0,1547,546,Beijing Capital International Airport,Beijing,Chine,116.58499908447266,40.080101013183594,116.0,6072,602,2018,9,0,20,0,0,8767,Sep,Lun,Soirée (18-20h),Moyen (500-1500km)
SVG,LTK,1414,,,,100.0,419,1554,,2016-11-19,I6F,IE 6.0 Flights,Stavanger Airport Sola,Stavanger,Norvège,5.6377801895,58.876701354,29.0,3221,440,Bassel Al-Assad International Airport,Latakia,Syrie,35.948699951171875,35.401100158691406,157.0,9021,425,2016,11,5,,0,0,13107,Nov,Sam,,Court (<500km)
AGP,CPH,2230,2236.0,6.0,21.0,318.0,2182,48,-2.0,2017-08-21,NVPPA,Ne Va Pas Partout Airlines,MÃ¡laga Airport,MÃ¡laga,Espagne,-4.499110221862793,36.67490005493164,53.0,771,143,Copenhagen Kastrup Airport,Copenhagen,Danemark,12.656000137329,55.617900848389,17.0,7541,493,2017,8,0,22,0,0,8948,Aoû,Lun,Nuit tardive (21-24h),Long (1500-3000km)
HAN,OVB,1852,1851.0,-1.0,24.0,166.0,964,2038,-9.0,2016-08-31,MAF,Morally Ambiguious Fligthts,Noi Bai International Airport,Hanoi,Vietnam,105.80699920654295,21.221200942993164,39.0,8379,693,Tolmachevo Airport,Novosibirsk,Russie,82.650703430176,55.012599945068,365.0,1757,749,2016,8,2,18,0,0,11578,Aoû,Mer,Soirée (18-20h),Moyen (500-1500km)
BOH,AGP,1410,1409.0,-1.0,18.0,134.0,666,1624,-11.0,2017-08-04,COA,Corporate Overlord Airways,Bournemouth Airport,Bournemouth,Royaume-Uni,-1.8424999713897705,50.779998779296875,38.0,3147,278,MÃ¡laga Airport,MÃ¡laga,Espagne,-4.499110221862793,36.67490005493164,53.0,771,143,2017,8,4,14,0,0,4339,Aoû,Ven,Midi (12-14h),Moyen (500-1500km)
SEZ,DXB,650,649.0,-1.0,18.0,220.0,1158,930,-22.0,2016-01-11,COA,Corporate Overlord Airways,Seychelles International Airport,Mahe Island,Seychelles,55.521801,-4.67434,10.0,9364,417,Dubai International Airport,Dubai,Émirats arabes unis,55.3643989563,25.2527999878,62.0,6386,848,2016,1,0,6,0,0,17015,Jan,Lun,Tôt matin (6-8h),Moyen (500-1500km)
BRU,SVG,926,936.0,10.0,25.0,274.0,2052,1700,14.0,2016-06-15,THA,Try Hard Airlines,Brussels Airport,Brussels,Belgique,4.48443984985,50.9014015198,184.0,5077,48,Stavanger Airport Sola,Stavanger,Norvège,5.6377801895,58.876701354,29.0,3221,440,2016,6,2,9,0,0,8786,Jun,Mer,Matin (9-11h),Long (1500-3000km)
DXB,NGO,1040,1036.0,-4.0,15.0,58.0,190,1138,-8.0,2016-02-20,COA,Corporate Overlord Airways,Dubai International Airport,Dubai,Émirats arabes unis,55.3643989563,25.2527999878,62.0,6386,848,Chubu Centrair International Airport,Tokoname,Japon,136.80499267578125,34.8583984375,15.0,8053,689,2016,2,5,10,0,0,15976,Fév,Sam,Matin (9-11h),Court (<500km)
DXB,TIA,1340,1334.0,-6.0,13.0,179.0,1055,1439,-5.0,2018-01-28,COA,Corporate Overlord Airways,Dubai International Airport,Dubai,Émirats arabes unis,55.3643989563,25.2527999878,62.0,6386,848,Tirana International Airport Mother Teresa,Tirana,Albanie,19.7206001282,41.4146995544,126.0,4582,586,2018,1,6,13,0,0,12402,Jan,Dim,Midi (12-14h),Moyen (500-1500km)
